study_accession	experiment_title	fastq_ftp
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727069: AFF4_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084431/SRR2084431.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727070: AFF4_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084432/SRR2084432.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727070: AFF4_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084433/SRR2084433.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727070: AFF4_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084434/SRR2084434.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727071: AFF4_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084435/SRR2084435.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727072: AFF4_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084436/SRR2084436.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727072: AFF4_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084437/SRR2084437.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727072: AFF4_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084438/SRR2084438.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727073: CDK9_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084439/SRR2084439.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727073: CDK9_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084440/SRR2084440.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727073: CDK9_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084441/SRR2084441.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727073: CDK9_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084442/SRR2084442.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727074: CDK9_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084443/SRR2084443.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727074: CDK9_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084444/SRR2084444.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727074: CDK9_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084445/SRR2084445.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727074: CDK9_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084446/SRR2084446.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727075: ELL2_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084447/SRR2084447.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727076: ELL2_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084448/SRR2084448.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727076: ELL2_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084449/SRR2084449.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727076: ELL2_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084450/SRR2084450.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727077: ELL2_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084451/SRR2084451.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727078: ELL2_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084452/SRR2084452.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727078: ELL2_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084453/SRR2084453.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727078: ELL2_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084454/SRR2084454.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727079: H2Bub_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084455/SRR2084455.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727079: H2Bub_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084456/SRR2084456.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727080: H2Bub_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084457/SRR2084457.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727081: H2Bub_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084458/SRR2084458.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727082: H2Bub_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084459/SRR2084459.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727082: H2Bub_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084460/SRR2084460.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727083: Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084461/SRR2084461.fastq.gz
